"Id";"Name";"CategoryName";"Value"
296501;"Simonsig Kaapse Vonkel Brut 2012 (0,75 l)";"Pezsgõk";4130
296601;"Simonsig Kaapse Vonkel Rosé 2013 (0,75 l)";"Pezsgõk";4130
296701;"Stellenrust Chenin Blanc 2014 (0,75 l)";"Fehér borok";2515
296801;"Stellenrust Pinotage 2013 (0,75 l)";"Vörösborok";2830
296901;"Stellenrust Shiraz 2013 (0,75 l)";"Vörösborok";2975
297001;"Szeremley Badacsonyi Rizling 2013 (0,75 l)";"Fehér borok";1790
297101;"Thummerer Egri Chardonnay battonage 2013 (0,75 l)";"Fehér borok";2960
297201;"Thummerer Egri Október végén Olaszrizling félédes 2008 (0,75 l)";"Fehér borok";3440
297301;"Tiffán Villányi Cuvée Carissimae 2009 (0,75 l)";"Vörösborok";8195
297401;"Tiffán Villányi Rosé 2013";"Rosé borok";1735
297501;"Tiffán Villányi Portugieser 2014 (0,75 l)";"Vörösborok";1735
297601;"Chapel Hill Chardonnay (0,75 l)";"Pezsgõk";1535
297701;"Chapel Hill Pinot Grigio (0,75 l)";"Pezsgõk";1535
297801;"Chapel Hill Pinot Noir Rosé (0,75 l)";"Pezsgõk";1535
297901;"Francois nyerspezsgõ  (0,75 l)";"Pezsgõk";3647
298001;"Trapiche Oak Cask Range Chardonnay 2012 (0,75 l)";"Fehér borok";1915
298101;"Trapiche Oak Cask Range Malbec 2013 (0,75 l)";"Vörösborok";1915
298201;"Trapiche Oak Cask Range Syrah 2012 (0,75 l)";"Vörösborok";1915
298301;"Vesztergombi Szekszárdi Cabernet Franc 2011 (0,75 l)";"Vörösborok";21755
299001;"Vida Szekszárdi Bikavér 2012 (0,75 l)";"Vörösborok";2915
299501;"Vylyan Villányi Cabernet Franc 2011 (0,75 l)";"Vörösborok";3665
332101;"Dime kulcstartóra rögzíthetõ multiszerszám, fekete, bliszterben";"Szabadidõs eszközök";7490
1659201;"Multi felfújható fotel 191x97x64cm";"Otthon, egyéb";7490
1659301;"Multi felfújható fotel 191x97x64cm";"Otthon, egyéb";7490
1659401;"Multi felfújható fotel 191x97x64cm";"Otthon, egyéb";7490
1659501;"Multifunkciós kanapé és ágy 188 x 152 x 64 cm";"Otthon, egyéb";14390
1659601;"Multifunkciós kanapé és ágy 188 x 152 x 64 cm";"Otthon, egyéb";14390
1659701;"Multifunkciós kanapé és ágy 188 x 152 x 64 cm";"Otthon, egyéb";14390
1659801;"Felfújható vendégágy fejpárnával, beépített pumpával, 203x152x46 cm";"Otthon, egyéb";13490
1659901;"Moda ülõke";"Otthon, egyéb";2990
1660001;"Moda ülõke";"Otthon, egyéb";2990
1660101;"Moda ülõke";"Otthon, egyéb";2990
1660201;"Pumpa, kézi";"Otthon, egyéb";2490
1660301;"Felfújható vendégágy állítható háttámlával";"Otthon, egyéb";9990
1660401;"Álmodj a csillagok alatt gyermek felfújható vendégágy";"Otthon, egyéb";5990
1660501;"Álmodj a csillagok alatt gyermek felfújható vendégágy";"Otthon, egyéb";5990
1660601;"Játszóház, komplett 140x150x170cm";"Szabadtéri játékok";8990
1660701;"Felfújható puff";"Otthon, egyéb";6490
1660801;"Felfújható puff";"Otthon, egyéb";6490
1660901;"Felfújható puff";"Otthon, egyéb";6490
1661501;"Black & Decker 14,4 V Kompakt Li-Ion Akkus Ütvefúró/csavarozó 2 mechanikus";"Elektromos barkácsgépek";48990
1669701;"HAIR + NICE INTENZÍV HAJTERÁPIA KOMPLEX CSOMAG";"Kozmetikai termékek";10990
1669801;"HAIR + NICE HAJERÕSÍTÕ-FEJBÕRÁPOLÓ SAMPON 200 ml";"Kozmetikai termékek";2490
1669901;"HAIR + NICE HAJKONDÍCIONÁLÓ BALZSAM 200 ml";"Kozmetikai termékek";2990
1670001;"HAIR + NICE HAJKENCE-FEJBÕRÁPOLÓ ÉS REGENÁLÓ KRÉM 75 ml";"Kozmetikai termékek";4990
1670201;"Sauvignon Blanc";"Fehér borok";1400
1670301;"Bock Olaszrizling";"Fehér borok";1680
1673401;"Samsung Galaxy J1 DS Black";"Mobiltelefonok";34990
1678201;"Micorsoft Lumia 435 DS Black";"Mobiltelefonok";24990
1680801;"Robotkar készlet elektronikus játék";"Fejlesztõ játékok";13990
1680901;"Robotkar készlet 3 in 1 elektronikus játék";"Autó,Jármû";10990
1681001;"Robot Beetle elektronikus játék";"Fejlesztõ játékok";13990
1681101;"BMW elektromos motor gyerekeknek";"Autó,Jármû";59990
1681201;"BMW elektromos motor gyerekeknek";"Autó,Jármû";59990
1681301;"BMW Z4 elektromos autó gyerekeknek";"Autó,Jármû";79990
1681401;"Ferrari F12 elektromos autó gyerekeknek";"Autó,Jármû";89990
1681501;"Lamborghini elektromos autó gyerekeknek";"Autó,Jármû";79990
1681601;"Mercedes elektromos autó gyerekeknek";"Autó,Jármû";74990
1681701;"Range Rover elektromos autó gyerekeknek";"Autó,Jármû";94990
1681801;"Range Rover elektromos autó gyerekeknek";"Autó,Jármû";109990
1681901;"Range Rover elektromos autó gyerekeknek";"Autó,Jármû";109990
1682001;"High Sped Buggy 4WD RC Hobby autó";"Autó,Jármû";36990
1682101;"High Sped Buggy 4WD RC Hobby autó";"Autó,Jármû";49990
1682201;"Mágikus Ház szabadtéri játék";"Szabadtéri játékok";25990
1682301;"Mágikus Ház szabadtéri játék";"Szabadtéri játékok";25990
1682401;"Farm Ház verandával szabadtéri játék";"Szabadtéri játékok";44990
1682501;"Összecsukható foci kapu szabadtéri játék";"Szabadtéri játékok";4990
1682601;"Mercedes Benz SLS lábbal hajtós autó";"Autó,Jármû";12490
1682701;"Mercedes Benz SLS lábbal hajtós autó";"Autó,Jármû";12490
1682801;"Bentley GT  lábbal hajtós autó";"Autó,Jármû";12490
1682901;"Bentley GT  lábbal hajtós autó";"Autó,Jármû";12490
1683001;"Pedálos traktor utánfutóval";"Autó,Jármû";21490
1683101;"Pedálos traktor utánfutóval";"Autó,Jármû";23990
1683201;"Pedálos traktor markolóval";"Autó,Jármû";21490
1683301;"Pedálos traktor markolóval és utánfutóval";"Autó,Jármû";26990
1683401;"RC Hajó, High Speed";"Autó,Jármû";9990
1683501;"RC Hajó, High Speed";"Autó,Jármû";9990
1688101;"ALLEGRO BALCONY rattan balkon szett";"Kerti bútorok";56874
1688201;"ATLANTA BALCONY rattan balkon szett";"Kerti bútorok";56874
1688301;"ATLANTA BALCONY rattan balkon szett";"Kerti bútorok";56874
1688401;"BONAIRE magastámlás karosszék";"Kerti bútorok";3031
1688501;"CHARLOTTE COUNTRY magastámlás karosszék";"Kerti bútorok";14272
1688601;"CORFU LOVE SEAT rattan kétszemélyes kanapé";"Kerti bútorok";42566
1688701;"COZIE virágtartó, 2 az 1-ben állva és felakasztva használható, kötött hatás";"Kerti bútorok";4997
1688801;"CUBA alacsonytámlás karosszék";"Kerti bútorok";2272
1688901;"DANTE magastámlás karosszék";"Kerti bútorok";3031
1689001;"DANTE szögletes étkezõ asztal";"Kerti bútorok";21104
1689101;"EASY GROWING magasított virágtartó";"Kerti bútorok";19998
1689201;"FIREWOOD SHELTER tüzifa tároló, fa hatású";"Kerti bútorok";33001
1689301;"FUTURA wood szögletes étkezõ asztal";"Kerti bútorok";30404
1689401;"CORNER TOOL RACK sarokelem munkaeszközök tárolásához";"Kerti bútorok";4997
1689501;"HARMONY wood szögletes étkezõ asztal";"Kerti bútorok";42924
1689601;"IOWA rattan fotel";"Kerti bútorok";16078
1689701;"IOWA rattan fotel";"Kerti bútorok";16078
1689801;"IOWA rattan fotel";"Kerti bútorok";16078
1689901;"IOWA rattan fotel";"Kerti bútorok";16078
1690001;"IOWA rattan fotel";"Kerti bútorok";16078
1690101;"IOWA rattan fotel";"Kerti bútorok";16078
1690201;"IOWA rattan fotel";"Kerti bútorok";16078
1690301;"IVY virágtartó 3 résszel";"Kerti bútorok";2997
1690401;"CYLINDER PLANTER virágtartó, henger, mûrattan (nagy)";"Kerti bútorok";6663
1690501;"LARISA magastámlás étkezõ szék";"Kerti bútorok";6242
1690601;"LARISA magastámlás étkezõ szék";"Kerti bútorok";6242
1690701;"MALLORCA alacsonytámlás karosszék";"Kerti bútorok";2186
1690801;"MANOR 65DD kültéri ház 185x152x226 cm";"Kerti bútorok";123003
1690901;"MEDIUM PLANTER virágtartó, mûrattan (közepes)";"Kerti bútorok";4331
1691001;"MELODY QUARTET rattan szögletes asztal";"Kerti bútorok";21444
1691101;"MELODY rattan szögletes étkezõ asztal";"Kerti bútorok";28597
1691201;"MAUI rattan lounge szett (MODENA fotel)";"Kerti bútorok";99798
1691301;"IOWA rattan fotel";"Kerti bútorok";16078
